*-----------------------------2022.09.30 15:07:03 Client Simulation Results -----------------------------*
Request349 (cost=475154.6735605056) create at time:5.618939638137817 by thread2328
Request350 (cost=475569.918429591) create at time:5.634929180145264 by thread2328
Request351 (cost=66141.1801980721) create at time:5.650932312011719 by thread2328
Request352 (cost=982956.608419385) create at time:5.66693639755249 by thread2328
Request353 (cost=295355.5009816019) create at time:5.682939767837524 by thread2328
Request354 (cost=114141.03050322982) create at time:5.698944091796875 by thread2328
Request355 (cost=852055.4281087588) create at time:5.714950323104858 by thread2328
Request356 (cost=326163.3956533759) create at time:5.730954170227051 by thread2328
Request357 (cost=625828.1935719228) create at time:5.746953964233398 by thread2328
Request358 (cost=514135.3364305793) create at time:5.7629594802856445 by thread2328
Request359 (cost=511748.9429429367) create at time:5.778960943222046 by thread2328
Request360 (cost=965009.5725537061) create at time:5.794963598251343 by thread2328
Request361 (cost=525408.2019616326) create at time:5.8109681606292725 by thread2328
Request362 (cost=868150.5121378438) create at time:5.826972723007202 by thread2328
Request363 (cost=589239.8380965292) create at time:5.841974973678589 by thread2328
Request364 (cost=141067.1581067493) create at time:5.857980966567993 by thread2328
Request365 (cost=417938.5560813766) create at time:5.872982501983643 by thread2328
Request366 (cost=223817.42580914835) create at time:5.888471841812134 by thread2328
Request367 (cost=763205.457701154) create at time:5.904489755630493 by thread2328
Request368 (cost=179024.09754850238) create at time:5.9204864501953125 by thread2328
Request369 (cost=788947.2675970125) create at time:5.936482191085815 by thread2328
Request370 (cost=666044.6037045671) create at time:5.9523584842681885 by thread2328
Request371 (cost=450670.43944137765) create at time:5.967355251312256 by thread2328
Request372 (cost=595081.6362760398) create at time:5.982360601425171 by thread2328
Request373 (cost=52278.19777451677) create at time:5.998369216918945 by thread2328
Request374 (cost=744397.4914721816) create at time:6.0143585205078125 by thread2328
Request375 (cost=71798.81205888535) create at time:6.030360698699951 by thread2328
Request376 (cost=286787.35785446875) create at time:6.046391010284424 by thread2328
Request377 (cost=605695.0838668038) create at time:6.062374830245972 by thread2328
Request378 (cost=289140.2223625748) create at time:6.078380346298218 by thread2328
Request379 (cost=253855.9309223228) create at time:6.094385623931885 by thread2328
Request380 (cost=960961.5538010538) create at time:6.110387563705444 by thread2328
Request381 (cost=700687.2985733927) create at time:6.126384496688843 by thread2328
Request382 (cost=433503.8776584326) create at time:6.141389608383179 by thread2328
Request383 (cost=476689.6282876835) create at time:6.156389474868774 by thread2328
Request384 (cost=662020.5735420806) create at time:6.171407699584961 by thread2328
Request385 (cost=674750.4405173386) create at time:6.187411308288574 by thread2328
Request386 (cost=821284.3332788389) create at time:6.2024147510528564 by thread2328
Request387 (cost=77777.84223578766) create at time:6.218411684036255 by thread2328
Request388 (cost=225928.4633524086) create at time:6.234415292739868 by thread2328
Request389 (cost=906517.7488155349) create at time:6.249956846237183 by thread2328
Request390 (cost=747036.4361240917) create at time:6.265963077545166 by thread2328
Request391 (cost=978048.3448200069) create at time:6.282047986984253 by thread2328
Request392 (cost=814309.633348594) create at time:6.29804539680481 by thread2328
Request393 (cost=1013266.4348537842) create at time:6.314055919647217 by thread2328
Request394 (cost=481189.5347208539) create at time:6.330052852630615 by thread2328
Request395 (cost=1005015.1886226631) create at time:6.345716953277588 by thread2328
Request396 (cost=390688.1452836514) create at time:6.361722469329834 by thread2328
Request397 (cost=827993.5682733897) create at time:6.377732753753662 by thread2328
Request398 (cost=919507.1058809973) create at time:6.3927271366119385 by thread2328
Request399 (cost=542091.9468699218) create at time:6.407733917236328 by thread2328
Request400 (cost=391477.61850731913) create at time:6.4227516651153564 by thread2328
Request401 (cost=283460.7685632701) create at time:6.4387407302856445 by thread2328
Request402 (cost=310584.0053373602) create at time:6.453756332397461 by thread2328
